District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
05,2017 Q1,227,810,59
05,2017 Q2,201,812,65
05,2017 Q3,231,834,77
05,2017 Q4,209,751,74
05,2018 Q1,243,830,62
05,2018 Q2,219,788,70
05,2018 Q3,249,767,50
05,2018 Q4,217,734,54
05,2019 Q1,194,849,65
05,2019 Q2,196,840,80
05,2019 Q3,221,757,47
05,2019 Q4,204,702,36
05,2020 Q1,196,753,45
05,2020 Q2,176,1540,70
05,2020 Q3,195,1610,41
05,2020 Q4,170,1082,52
05,2021 Q1,204,1292,67
05,2021 Q2,220,1236,52
05,2021 Q3,243,1261,45
05,2021 Q4,216,1203,42
05,2022 Q1,191,1295,93
05,2022 Q2,163,1221,68
05,2022 Q3,168,1259,95
05,2022 Q4,148,1280,139
05,2023 Q1,189,1252,100
05,2023 Q2,167,1195,74
05,2023 Q3,152,1153,110
05,2023 Q4,155,1272,98
05,2024 Q1,162,1167,78
05,2024 Q2,141,1161,102
05,2024 Q3,190,1243,95
05,2024 Q4,178,1229,103
05,2025 Q1,148,1021,87
05,2025 Q2,156,1252,100
05,2025 Q3,182,1451,135
05,2025 Q4,132,1457,95
05,2026 Q1,165,1299,105
05,2026 Q2,150,1482,74
05,2026 Q3,1,33,4
05,2028 Q1,0,1,0
05,2048 Q2,0,1,0
