District,Filing Quarter,Number of violent cases filed per quarter
05,2018 Q3,37
05,2019 Q2,28
05,2020 Q4,26
05,2026 Q1,27
05,2025 Q3,36
05,2021 Q3,57
05,2023 Q1,41
05,2017 Q3,40
05,2025 Q4,39
05,2021 Q2,28
05,2019 Q1,25
05,2022 Q2,37
05,2018 Q1,33
05,2019 Q4,31
05,2028 Q1,0
05,2021 Q1,41
05,2019 Q3,32
05,2024 Q1,29
05,2018 Q2,28
05,2020 Q1,47
05,2023 Q4,35
05,2018 Q4,40
05,2020 Q3,43
05,2017 Q4,41
05,2024 Q3,36
05,2024 Q2,29
05,2026 Q3,1
05,2017 Q1,34
05,2022 Q3,29
05,2025 Q1,32
05,2023 Q2,39
05,2048 Q2,0
05,2017 Q2,26
05,2020 Q2,34
05,2023 Q3,26
05,2022 Q1,33
05,2024 Q4,37
05,2026 Q2,30
05,2021 Q4,34
05,2025 Q2,27
05,2022 Q4,31
