Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2021,115,40,153,71,93,0
2022,76,45,202,96,97,1
2023,116,39,164,47,60,2
2024,133,70,156,56,47,2
2025,193,113,219,47,98,1
