Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,81,38,119,31.9
2017 Q2,62,34,96,35.4
2017 Q3,133,51,184,27.7
2017 Q4,134,34,168,20.2
2018 Q1,110,28,138,20.3
2018 Q2,164,21,185,11.4
2018 Q3,159,17,176,9.7
2018 Q4,71,9,80,11.2
2019 Q1,51,10,61,16.4
2019 Q2,196,21,217,9.7
2019 Q3,86,21,107,19.6
2019 Q4,88,24,112,21.4
2020 Q1,130,57,187,30.5
2020 Q2,114,42,156,26.9
2020 Q3,98,36,134,26.9
2020 Q4,71,31,102,30.4
2021 Q1,59,28,87,32.2
2021 Q2,88,47,135,34.8
2021 Q3,74,57,131,43.5
2021 Q4,99,70,169,41.4
2022 Q1,104,78,182,42.9
2022 Q2,83,63,146,43.2
2022 Q3,86,59,145,40.7
2022 Q4,85,64,149,43.0
2023 Q1,72,49,121,40.5
2023 Q2,68,47,115,40.9
2023 Q3,87,51,138,37.0
2023 Q4,73,77,150,51.3
2024 Q1,62,47,109,43.1
2024 Q2,77,64,141,45.4
2024 Q3,69,59,128,46.1
2024 Q4,79,53,132,40.2
2025 Q1,140,73,213,34.3
2025 Q2,122,71,193,36.8
2025 Q3,139,89,228,39.0
2025 Q4,102,79,181,43.6
