Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2021,0,26,7,1,17,1,32
2022,0,34,3,2,16,0,56
2023,1,28,14,3,20,2,58
2024,1,18,4,0,21,2,54
2025,1,31,11,3,20,1,62
