Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,14,19,33,27,46,73,42.4,37.0
2020,19,29,48,43,35,78,39.6,55.1
2021,16,11,27,25,11,36,59.3,69.4
2022,14,4,18,34,23,57,77.8,59.6
2023,23,5,28,39,13,52,82.1,75.0
2024,18,4,22,42,15,57,81.8,73.7
