Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2021,0,0,0,0,0,0,41,23,64,15,10,25,,,64.1,60.0
2022,1,1,2,0,0,0,47,25,72,28,10,38,50.0,,65.3,73.7
2023,2,0,2,1,0,1,49,19,68,38,13,51,100.0,100.0,72.1,74.5
2024,1,0,1,0,2,2,39,13,52,38,8,46,100.0,0.0,75.0,82.6
2025,0,0,0,0,0,0,51,21,72,39,18,57,,,70.8,68.4
