District,Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
12,2019,14,19,33,29,45,74,42.42424242,39.18918919
12,2020,19,29,48,43,36,79,39.58333333,54.43037975
12,2021,15,11,26,25,9,34,57.69230769,73.52941176
12,2022,15,4,19,34,22,56,78.94736842,60.71428571
12,2023,21,5,26,41,14,55,80.76923077,74.54545455
12,2024,16,4,20,42,15,57,80.0,73.68421053
