Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2021,4,3,7,191,132,323,1,1,2,115,63,178,42.9,40.9,50.0,35.4
2022,5,7,12,182,167,349,5,0,5,149,81,230,58.3,47.9,0.0,35.2
2023,6,2,8,158,131,289,1,2,3,121,84,205,25.0,45.3,66.7,41.0
2024,3,3,6,144,127,271,5,2,7,116,89,205,50.0,46.9,28.6,43.4
2025,8,2,10,245,186,431,2,2,4,208,114,322,20.0,43.2,50.0,35.4
