Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,23,25,48,29,41,70,47.9,41.4
2020,30,29,59,51,52,103,50.8,49.5
2021,19,11,30,36,21,57,63.3,63.2
2022,19,10,29,54,21,75,65.5,72.0
2023,38,11,49,39,16,55,77.6,70.9
2024,38,8,46,1,2,3,82.6,33.3
2025,37,17,54,14,6,20,68.5,70.0
