District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
12,2017 Q1,7,8,4,21
12,2017 Q2,10,4,8,12
12,2017 Q3,18,12,6,24
12,2017 Q4,13,13,3,18
12,2018 Q1,21,11,6,9
12,2018 Q2,24,8,3,10
12,2018 Q3,2,7,3,13
12,2018 Q4,8,6,2,3
12,2019 Q1,11,7,0,5
12,2019 Q2,9,11,9,8
12,2019 Q3,9,4,1,9
12,2019 Q4,12,2,5,12
12,2020 Q1,8,12,9,16
12,2020 Q2,13,8,11,13
12,2020 Q3,11,7,5,11
12,2020 Q4,13,4,2,6
12,2021 Q1,15,5,1,4
12,2021 Q2,20,6,5,9
12,2021 Q3,11,5,3,4
12,2021 Q4,19,10,7,15
12,2022 Q1,16,8,9,12
12,2022 Q2,17,5,4,11
12,2022 Q3,20,12,0,13
12,2022 Q4,10,8,4,19
12,2023 Q1,10,8,5,12
12,2023 Q2,6,5,4,9
12,2023 Q3,13,4,5,12
12,2023 Q4,17,12,5,25
12,2024 Q1,13,2,1,19
12,2024 Q2,10,6,8,17
12,2024 Q3,16,5,8,9
12,2024 Q4,16,4,3,7
12,2025 Q1,21,11,7,18
12,2025 Q2,13,7,1,21
12,2025 Q3,10,8,7,10
12,2025 Q4,23,4,5,11
12,2026 Q1,16,8,9,15
12,2026 Q2,8,1,6,7
