District,Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
12,2020,0,31,7,2,27,0,46
12,2021,0,26,7,1,16,1,32
12,2022,0,33,3,1,17,0,55
12,2023,1,29,14,3,19,2,58
12,2024,1,17,4,0,20,2,52
12,2025,1,30,11,2,20,1,60
