DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,2,5,7,28.6,5,22,27,18.5
2019 Q2,1,10,11,9.1,7,33,40,17.5
2020 Q4,0,5,5,0.0,8,22,30,26.7
2025 Q3,1,8,9,11.1,23,60,83,27.7
2021 Q3,1,3,4,25.0,15,33,48,31.2
2023 Q1,1,6,7,14.3,11,43,54,20.4
2017 Q3,2,12,14,14.3,9,28,37,24.3
2025 Q4,0,4,4,0.0,17,60,77,22.1
2021 Q2,2,5,7,28.6,4,43,47,8.5
2019 Q1,2,5,7,28.6,6,17,23,26.1
2022 Q2,0,5,5,0.0,10,42,52,19.2
2018 Q1,1,10,11,9.1,6,28,34,17.6
2019 Q4,0,3,3,0.0,6,15,21,28.6
2021 Q1,1,4,5,20.0,8,40,48,16.7
2019 Q3,0,5,5,0.0,5,16,21,23.8
2024 Q1,0,2,2,0.0,11,33,44,25.0
2018 Q2,2,6,8,25.0,5,23,28,17.9
2020 Q1,0,12,12,0.0,7,31,38,18.4
2023 Q4,6,6,12,50.0,12,37,49,24.5
2018 Q4,2,4,6,33.3,3,24,27,11.1
2020 Q3,0,7,7,0.0,10,35,45,22.2
2017 Q4,1,12,13,7.7,8,21,29,27.6
2024 Q3,0,5,5,0.0,15,46,61,24.6
2024 Q2,3,4,7,42.9,18,54,72,25.0
2017 Q1,3,5,8,37.5,11,31,42,26.2
2022 Q3,1,12,13,7.7,14,53,67,20.9
2025 Q1,3,9,12,25.0,23,75,98,23.5
2023 Q2,2,4,6,33.3,9,32,41,22.0
2017 Q2,2,2,4,50.0,7,25,32,21.9
2020 Q2,2,6,8,25.0,5,18,23,21.7
2023 Q3,1,3,4,25.0,16,48,64,25.0
2022 Q1,0,8,8,0.0,12,66,78,15.4
2024 Q4,1,4,5,20.0,12,58,70,17.1
2025 Q2,0,7,7,0.0,19,61,80,23.8
2021 Q4,1,10,11,9.1,20,44,64,31.2
2022 Q4,1,7,8,12.5,11,56,67,16.4
