District,Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
12,Sentences in 2025,625.0,156.0,253.0,55.0,115.0,23.0,2.0,60.0
12,Change since 2024,155.10204082,87.95180723,47.09302326,7.84313725,150.0,9.52380952,-50.0,15.38461538
