Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,10,2,11,12,15,1,4,0,55,23.6,3.6,72.7
2017 Q2,5,3,16,11,8,0,2,0,45,24.4,6.7,68.9
2017 Q3,12,2,3,25,14,0,2,1,59,44.1,3.4,52.5
2017 Q4,6,3,3,22,14,2,0,0,50,48.0,6.0,46.0
2018 Q1,6,7,12,14,5,1,2,0,47,31.9,14.9,53.2
2018 Q2,7,10,8,8,7,1,5,2,48,22.9,20.8,56.2
2018 Q3,1,3,5,17,3,0,1,1,31,58.1,9.7,32.3
2018 Q4,1,5,1,3,7,0,1,0,18,16.7,27.8,55.6
2019 Q1,1,5,2,7,4,1,0,0,20,40.0,25.0,35.0
2019 Q2,5,8,5,13,7,0,2,1,41,34.1,19.5,46.3
2019 Q3,3,2,3,17,7,1,2,1,36,52.8,5.6,41.7
2019 Q4,4,7,3,8,12,1,1,2,38,28.9,18.4,52.6
2020 Q1,8,3,6,17,15,1,1,0,51,35.3,5.9,58.8
2020 Q2,7,5,8,19,14,1,2,0,56,35.7,8.9,55.4
2020 Q3,1,3,10,8,10,2,2,1,37,29.7,8.1,62.2
2020 Q4,3,6,4,15,8,0,4,0,40,37.5,15.0,47.5
2021 Q1,1,4,4,8,6,0,1,0,24,33.3,16.7,50.0
2021 Q2,6,8,4,20,20,0,3,1,62,33.9,12.9,53.2
2021 Q3,7,12,9,18,18,2,1,0,67,29.9,17.9,52.2
2021 Q4,11,15,7,17,25,0,1,4,80,26.2,18.8,55.0
2022 Q1,11,12,12,19,22,0,2,4,82,28.0,14.6,57.3
2022 Q2,13,21,10,18,18,0,1,1,82,23.2,25.6,51.2
2022 Q3,6,7,6,22,9,2,3,1,56,44.6,12.5,42.9
2022 Q4,6,9,6,27,9,0,1,1,59,47.5,15.3,37.3
2023 Q1,4,8,3,22,10,0,0,0,47,46.8,17.0,36.2
2023 Q2,7,1,9,23,12,1,1,0,54,44.4,1.9,53.7
2023 Q3,7,2,3,18,12,2,1,0,45,44.4,4.4,51.1
2023 Q4,6,12,5,26,15,1,1,1,67,41.8,17.9,40.3
2024 Q1,4,4,5,20,8,0,1,0,42,47.6,9.5,42.9
2024 Q2,7,7,6,13,14,0,1,2,50,30.0,14.0,56.0
2024 Q3,4,9,2,20,13,0,1,1,50,42.0,18.0,40.0
2024 Q4,7,15,1,12,6,0,1,0,42,28.6,35.7,35.7
2025 Q1,13,10,6,21,15,1,1,4,71,36.6,14.1,49.3
2025 Q2,8,10,7,20,11,2,1,2,61,39.3,16.4,44.3
2025 Q3,14,11,7,16,15,1,1,0,65,26.2,16.9,56.9
2025 Q4,15,15,2,12,13,1,1,1,60,23.3,25.0,51.7
2026 Q1,13,9,4,18,11,1,1,1,58,34.5,15.5,50.0
2026 Q2,6,7,1,18,7,1,0,1,41,48.8,17.1,34.1
