District,Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
12,2020,0,0,0,38,38,76,42,41,83,,50.0,50.60240964
12,2021,0,0,0,41,23,64,14,10,24,,64.0625,58.33333333
12,2022,0,0,0,46,25,71,28,9,37,,64.78873239,75.67567568
12,2023,1,0,1,48,20,68,38,13,51,100.0,70.58823529,74.50980392
12,2024,0,2,2,38,12,50,36,8,44,0.0,76.0,81.81818182
12,2025,0,0,0,49,21,70,38,18,56,,70.0,67.85714286
