Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,7,8,4,21
2017 Q2,10,4,8,12
2017 Q3,18,12,6,24
2017 Q4,13,13,3,18
2018 Q1,21,11,6,9
2018 Q2,24,8,3,10
2018 Q3,2,7,3,13
2018 Q4,8,6,2,3
2019 Q1,11,7,0,4
2019 Q2,9,11,9,8
2019 Q3,9,4,1,9
2019 Q4,12,2,5,12
2020 Q1,9,12,9,16
2020 Q2,13,8,11,13
2020 Q3,11,7,7,11
2020 Q4,13,4,2,6
2021 Q1,16,5,1,4
2021 Q2,19,7,6,9
2021 Q3,12,4,3,4
2021 Q4,18,10,7,15
2022 Q1,16,8,8,13
2022 Q2,17,5,4,10
2022 Q3,18,13,0,13
2022 Q4,10,8,4,20
2023 Q1,11,7,5,11
2023 Q2,6,5,5,9
2023 Q3,14,4,5,12
2023 Q4,17,12,5,26
2024 Q1,12,2,1,20
2024 Q2,11,6,9,18
2024 Q3,17,5,8,9
2024 Q4,16,4,3,7
2025 Q1,22,11,7,18
2025 Q2,13,7,1,21
2025 Q3,10,9,7,12
2025 Q4,23,4,5,11
2026 Q1,16,8,9,16
2026 Q2,8,2,8,12
