Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,1361,214,1575,13.6
2021,1280,215,1495,14.4
2022,1289,269,1558,17.3
2023,1417,275,1692,16.3
2024,1473,207,1680,12.3
2025,1328,206,1534,13.4
