Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,1499,42,1541,6,327,84,26,40,852,1335,2.7,6.3
2018,1452,31,1483,4,378,80,29,20,953,1464,2.1,5.5
2019,1499,57,1556,3,322,69,22,22,940,1378,3.7,5.0
2020,1361,57,1418,1,260,76,18,14,659,1028,4.0,7.4
2021,1280,61,1341,5,298,109,21,40,890,1363,4.5,8.0
2022,1289,68,1357,2,239,107,36,35,839,1258,5.0,8.5
2023,1417,42,1459,7,199,104,52,29,892,1283,2.9,8.1
2024,1473,25,1498,9,241,128,38,37,938,1391,1.7,9.2
2025,1328,42,1370,5,220,146,53,34,970,1428,3.1,10.2
