District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
23,2017 Q1,369,21,0,390,5.38461538,68,142,210,32.38095238
23,2017 Q2,324,22,1,347,6.34005764,62,134,196,31.63265306
23,2017 Q3,359,19,2,380,5.0,64,144,208,30.76923077
23,2017 Q4,363,17,2,382,4.45026178,94,171,265,35.47169811
23,2018 Q1,340,15,0,355,4.22535211,72,150,222,32.43243243
23,2018 Q2,377,21,1,399,5.26315789,83,198,281,29.53736655
23,2018 Q3,304,17,1,322,5.27950311,60,164,224,26.78571429
23,2018 Q4,355,20,1,376,5.31914894,65,189,254,25.59055118
23,2019 Q1,333,14,0,347,4.03458213,72,182,254,28.34645669
23,2019 Q2,320,20,1,341,5.86510264,77,181,258,29.84496124
23,2019 Q3,408,33,2,443,7.44920993,97,146,243,39.91769547
23,2019 Q4,342,26,0,368,7.06521739,88,117,205,42.92682927
23,2020 Q1,366,30,1,397,7.55667506,94,152,246,38.21138211
23,2020 Q2,268,21,0,289,7.26643599,30,62,92,32.60869565
23,2020 Q3,300,33,2,335,9.85074627,64,105,169,37.86982249
23,2020 Q4,312,27,1,340,7.94117647,74,96,170,43.52941176
23,2021 Q1,277,41,0,318,12.89308176,91,120,211,43.12796209
23,2021 Q2,259,30,0,289,10.38062284,97,132,229,42.3580786
23,2021 Q3,295,42,0,337,12.46290801,95,156,251,37.84860558
23,2021 Q4,291,45,0,336,13.39285714,82,136,218,37.6146789
23,2022 Q1,339,44,0,383,11.48825065,62,155,217,28.57142857
23,2022 Q2,335,25,1,361,6.92520776,74,173,247,29.95951417
23,2022 Q3,207,28,2,239,11.71548117,54,163,217,24.88479263
23,2022 Q4,275,28,3,306,9.1503268,58,135,193,30.05181347
23,2023 Q1,248,18,1,267,6.74157303,48,199,247,19.43319838
23,2023 Q2,376,24,0,400,6.0,52,181,233,22.31759657
23,2023 Q3,346,17,1,364,4.67032967,58,166,224,25.89285714
23,2023 Q4,362,22,2,386,5.69948187,71,168,239,29.70711297
23,2024 Q1,365,18,1,384,4.6875,74,180,254,29.13385827
23,2024 Q2,327,24,0,351,6.83760684,73,195,268,27.23880597
23,2024 Q3,354,17,0,371,4.58221024,74,152,226,32.74336283
23,2024 Q4,338,28,1,367,7.62942779,86,140,226,38.05309735
23,2025 Q1,313,29,1,343,8.4548105,122,178,300,40.66666667
23,2025 Q2,314,29,2,346,8.38150289,122,143,265,46.03773585
23,2025 Q3,295,24,2,322,7.45341615,119,147,266,44.73684211
23,2025 Q4,297,20,0,317,6.30914826,92,110,202,45.54455446
23,2026 Q1,293,14,1,310,4.51612903,79,120,199,39.69849246
23,2026 Q2,251,26,2,279,9.31899642,82,80,162,50.61728395
23,2026 Q3,8,1,0,9,11.11111111,2,0,2,100.0
