Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,1499,42,1541,2.7
2018,1452,31,1483,2.1
2019,1499,57,1556,3.7
2020,1361,57,1418,4.0
2021,1280,61,1341,4.5
2022,1289,68,1357,5.0
2023,1417,42,1459,2.9
2024,1473,25,1498,1.7
2025,1328,42,1370,3.1
