Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,1499,196,1695,11.56342183
2018,1452,184,1636,11.24694377
2019,1499,192,1691,11.35422827
2020,1361,214,1575,13.58730159
2021,1280,215,1495,14.3812709
2022,1289,269,1558,17.26572529
2023,1417,275,1692,16.25295508
2024,1473,207,1680,12.32142857
2025,1328,206,1534,13.42894394
