District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
23,2024,1473,207,1680,9,241,128,38,37,937,1390,12.32142857,9.20863309
23,2021,1280,215,1495,5,298,109,21,40,890,1363,14.3812709,7.9970653
23,2022,1289,269,1558,2,239,107,36,35,839,1258,17.26572529,8.50556439
23,2025,1328,206,1534,5,218,147,53,33,964,1420,13.42894394,10.35211268
23,2019,1499,192,1691,3,322,69,22,22,940,1378,11.35422827,5.00725689
23,2020,1361,214,1575,1,260,76,18,14,659,1028,13.58730159,7.39299611
23,2023,1417,275,1692,7,199,104,51,29,892,1282,16.25295508,8.11232449
23,2017,1499,196,1695,6,327,84,26,40,852,1335,11.56342183,6.29213483
23,2026,598,56,654,3,95,51,12,15,346,522,8.56269113,9.77011494
23,2018,1452,184,1636,4,378,80,29,20,952,1463,11.24694377,5.46821599
