Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,369,21,0,390,5.4,68,142,210,32.4
2017 Q2,324,22,1,347,6.3,62,134,196,31.6
2017 Q3,359,19,2,380,5.0,64,144,208,30.8
2017 Q4,363,17,2,382,4.5,94,171,265,35.5
2018 Q1,340,15,0,355,4.2,72,150,222,32.4
2018 Q2,377,21,1,399,5.3,83,198,281,29.5
2018 Q3,304,17,1,322,5.3,60,164,224,26.8
2018 Q4,355,20,1,376,5.3,65,189,254,25.6
2019 Q1,333,14,0,347,4.0,72,182,254,28.3
2019 Q2,320,20,1,341,5.9,77,181,258,29.8
2019 Q3,408,33,2,443,7.4,97,146,243,39.9
2019 Q4,342,26,0,368,7.1,88,117,205,42.9
2020 Q1,366,30,1,397,7.6,94,152,246,38.2
2020 Q2,268,21,0,289,7.3,30,62,92,32.6
2020 Q3,300,33,2,335,9.9,64,105,169,37.9
2020 Q4,312,27,1,340,7.9,74,96,170,43.5
2021 Q1,277,41,0,318,12.9,91,120,211,43.1
2021 Q2,259,30,0,289,10.4,97,132,229,42.4
2021 Q3,295,42,0,337,12.5,95,156,251,37.8
2021 Q4,291,45,0,336,13.4,82,136,218,37.6
2022 Q1,339,44,0,383,11.5,62,155,217,28.6
2022 Q2,335,25,1,361,6.9,74,173,247,30.0
2022 Q3,207,28,2,239,11.7,54,163,217,24.9
2022 Q4,275,28,3,306,9.2,58,135,193,30.1
2023 Q1,248,18,1,267,6.7,48,200,248,19.4
2023 Q2,376,24,0,400,6.0,52,181,233,22.3
2023 Q3,346,17,1,364,4.7,58,166,224,25.9
2023 Q4,362,22,2,386,5.7,71,168,239,29.7
2024 Q1,365,18,1,384,4.7,74,180,254,29.1
2024 Q2,327,24,0,351,6.8,73,195,268,27.2
2024 Q3,354,17,0,371,4.6,74,152,226,32.7
2024 Q4,338,28,1,367,7.6,86,140,226,38.1
2025 Q1,313,29,1,343,8.5,122,179,301,40.5
2025 Q2,314,29,2,346,8.4,122,143,265,46.0
2025 Q3,295,24,2,322,7.5,121,147,268,45.1
2025 Q4,297,20,0,317,6.3,92,110,202,45.5
2026 Q1,293,14,1,310,4.5,79,122,201,39.3
2026 Q2,251,26,2,279,9.3,82,85,167,49.1
