Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2019,161,16,177,213,25,238,6,0,6,1057,141,1198,9.0,10.5,0.0,11.8
2020,144,19,163,248,34,282,7,0,7,897,144,1041,11.7,12.1,0.0,13.8
2021,165,29,194,246,28,274,6,0,6,828,146,974,14.9,10.2,0.0,15.0
2022,160,29,189,261,45,306,2,1,3,823,172,995,15.3,14.7,33.3,17.3
2023,193,30,223,279,47,326,5,0,5,898,182,1080,13.5,14.4,0.0,16.9
2024,183,16,199,350,30,380,8,0,8,888,152,1040,8.0,7.9,0.0,14.6
2025,143,28,171,267,41,308,6,2,8,870,126,996,16.4,13.3,25.0,12.7
