Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
2020,467,54,625,152,50
2021,701,75,753,190,82
2022,587,99,868,243,57
2023,730,62,858,221,64
2024,723,66,699,199,58
2025,806,68,804,189,52
