Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,92,65,157,71,28,99,58.6,71.7
2020,84,35,119,39,26,65,70.6,60.0
2021,85,45,130,75,32,107,65.4,70.1
2022,88,45,133,63,28,91,66.2,69.2
2023,67,29,96,59,29,88,69.8,67.0
2024,35,23,58,49,42,91,60.3,53.8
2025,48,29,77,59,36,95,62.3,62.1
