Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,467,54,627,152,50,0
2021,701,75,753,190,82,0
2022,587,99,868,243,57,0
2023,730,62,858,221,64,3
2024,723,66,699,199,58,4
2025,806,68,803,190,52,2
