District,Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
05,2017 Q1,10,65,13,24,13,0,8,2,135,19.25925926,48.14814815,32.59259259
05,2017 Q2,19,62,16,27,15,0,13,3,155,19.35483871,40.0,40.64516129
05,2017 Q3,5,63,8,17,17,1,18,1,130,14.61538462,48.46153846,36.92307692
05,2017 Q4,9,64,9,25,9,2,9,3,130,23.07692308,49.23076923,27.69230769
05,2018 Q1,6,63,9,28,21,2,9,3,141,23.40425532,44.68085106,31.91489362
05,2018 Q2,9,65,12,21,19,1,6,4,137,18.97810219,47.44525547,33.57664234
05,2018 Q3,12,68,6,22,15,1,8,5,137,20.4379562,49.6350365,29.9270073
05,2018 Q4,15,64,11,19,14,1,6,2,132,16.66666667,48.48484848,34.84848485
05,2019 Q1,16,60,5,30,19,3,9,0,142,23.23943662,42.25352113,34.50704225
05,2019 Q2,14,84,19,22,23,4,5,1,172,15.69767442,48.8372093,35.46511628
05,2019 Q3,7,77,21,17,14,0,4,1,141,12.76595745,54.60992908,32.62411348
05,2019 Q4,11,65,10,21,20,3,8,5,143,20.27972028,45.45454545,34.26573427
05,2020 Q1,7,62,13,11,18,3,2,2,118,13.55932203,52.54237288,33.89830508
05,2020 Q2,5,23,7,9,11,0,1,1,57,17.54385965,40.35087719,42.10526316
05,2020 Q3,1,37,5,19,16,1,5,1,85,24.70588235,43.52941176,31.76470588
05,2020 Q4,6,27,7,20,13,1,2,3,79,30.37974684,34.17721519,35.44303797
05,2021 Q1,4,53,5,19,23,3,4,0,111,19.81981982,47.74774775,32.43243243
05,2021 Q2,9,38,15,20,23,1,4,2,112,20.53571429,33.92857143,45.53571429
05,2021 Q3,10,51,12,24,17,4,4,0,122,22.95081967,41.80327869,35.24590164
05,2021 Q4,11,38,7,21,19,1,7,4,108,24.07407407,35.18518519,40.74074074
05,2022 Q1,9,63,4,26,17,0,11,1,131,20.61068702,48.09160305,31.29770992
05,2022 Q2,11,55,14,23,17,2,4,0,126,19.84126984,43.65079365,36.50793651
05,2022 Q3,16,48,8,20,10,2,1,1,106,21.69811321,45.28301887,33.01886792
05,2022 Q4,9,41,4,23,30,2,3,1,113,23.00884956,36.28318584,40.7079646
05,2023 Q1,8,54,9,19,25,3,5,0,123,17.88617886,43.90243902,38.21138211
05,2023 Q2,11,64,10,16,15,1,3,0,120,14.16666667,53.33333333,32.5
05,2023 Q3,9,39,11,13,13,4,3,2,94,20.21276596,41.4893617,38.29787234
05,2023 Q4,6,33,7,29,7,5,7,2,96,37.5,34.375,28.125
05,2024 Q1,7,45,9,22,14,0,6,0,103,21.3592233,43.68932039,34.95145631
05,2024 Q2,5,41,7,11,14,0,6,1,85,14.11764706,48.23529412,37.64705882
05,2024 Q3,12,26,3,12,12,0,1,2,68,20.58823529,38.23529412,41.17647059
05,2024 Q4,8,53,7,16,16,0,2,0,102,15.68627451,51.96078431,32.35294118
05,2025 Q1,15,55,4,19,5,0,11,1,110,18.18181818,50.0,31.81818182
05,2025 Q2,7,36,5,9,15,0,3,0,75,12.0,48.0,40.0
05,2025 Q3,8,46,7,17,11,2,4,1,96,20.83333333,47.91666667,31.25
05,2025 Q4,10,32,3,7,13,1,6,3,75,14.66666667,42.66666667,42.66666667
05,2026 Q1,5,45,2,17,6,0,4,2,81,23.45679012,55.55555556,20.98765432
05,2026 Q2,5,44,4,7,8,1,4,0,73,10.95890411,60.2739726,28.76712329
