Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,1,68,44,5,12,0,72
2021,1,91,47,11,23,0,93
2022,4,89,43,2,14,1,112
2023,1,62,31,4,22,1,78
2024,4,70,24,1,28,1,40
2025,3,69,31,1,20,1,59
