District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
05,2017 Q1,48,21,3,13
05,2017 Q2,57,29,4,23
05,2017 Q3,32,23,7,9
05,2017 Q4,32,8,9,14
05,2018 Q1,31,26,13,21
05,2018 Q2,38,13,7,13
05,2018 Q3,35,34,4,11
05,2018 Q4,44,16,8,21
05,2019 Q1,38,22,5,18
05,2019 Q2,41,30,7,26
05,2019 Q3,34,17,7,11
05,2019 Q4,25,23,9,27
05,2020 Q1,33,15,6,21
05,2020 Q2,34,20,2,17
05,2020 Q3,29,16,2,17
05,2020 Q4,28,17,2,17
05,2021 Q1,38,15,7,19
05,2021 Q2,40,30,4,23
05,2021 Q3,27,19,3,29
05,2021 Q4,36,27,9,22
05,2022 Q1,37,29,2,27
05,2022 Q2,41,20,7,33
05,2022 Q3,49,17,3,25
05,2022 Q4,52,23,2,27
05,2023 Q1,44,15,6,31
05,2023 Q2,45,19,4,20
05,2023 Q3,33,16,7,8
05,2023 Q4,38,12,5,19
05,2024 Q1,32,17,5,12
05,2024 Q2,51,18,9,8
05,2024 Q3,28,19,5,8
05,2024 Q4,33,16,9,12
05,2025 Q1,27,21,5,16
05,2025 Q2,25,11,2,15
05,2025 Q3,39,26,6,17
05,2025 Q4,34,11,7,11
05,2026 Q1,35,15,7,7
05,2026 Q2,31,16,2,6
05,2026 Q3,1,0,0,0
