District,Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
05,2020,84,35,119,39,26,65,70.58823529,60.0
05,2021,85,46,131,75,31,106,64.88549618,70.75471698
05,2022,89,45,134,62,28,90,66.41791045,68.88888889
05,2023,67,29,96,57,30,87,69.79166667,65.51724138
05,2024,35,25,60,49,39,88,58.33333333,55.68181818
05,2025,48,29,77,59,36,95,62.33766234,62.10526316
05,2026,15,21,36,20,12,32,41.66666667,62.5
