Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,3,1,4,1,0,1,29,18,47,115,67,182,75.0,100.0,61.7,63.2
2018,10,4,14,1,0,1,36,21,57,98,75,173,71.4,100.0,63.2,56.6
2019,10,5,15,1,0,1,37,25,62,122,65,187,66.7,100.0,59.7,65.2
2020,3,5,8,0,0,0,39,7,46,83,60,143,37.5,,84.8,58.0
2021,10,6,16,1,0,1,55,19,74,94,65,159,62.5,100.0,74.3,59.1
2022,7,6,13,0,0,0,62,31,93,89,54,143,53.8,,66.7,62.2
2023,7,1,8,0,0,0,45,31,76,70,29,99,87.5,,59.2,70.7
2024,5,6,11,0,0,0,32,29,61,52,44,96,45.5,,52.5,54.2
2025,3,4,7,1,0,1,31,25,56,72,45,117,42.9,100.0,55.4,61.5
