Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,10,65,13,24,13,0,8,2,135,19.3,48.1,32.6
2017 Q2,19,62,16,27,15,0,13,3,155,19.4,40.0,40.6
2017 Q3,5,63,8,17,17,1,18,1,130,14.6,48.5,36.9
2017 Q4,9,64,9,25,9,2,9,3,130,23.1,49.2,27.7
2018 Q1,6,63,9,28,21,2,9,3,141,23.4,44.7,31.9
2018 Q2,9,65,12,21,19,1,6,4,137,19.0,47.4,33.6
2018 Q3,12,68,6,22,15,1,8,5,137,20.4,49.6,29.9
2018 Q4,15,64,11,19,14,1,6,2,132,16.7,48.5,34.8
2019 Q1,16,60,5,30,19,3,9,0,142,23.2,42.3,34.5
2019 Q2,14,84,19,22,23,4,5,1,172,15.7,48.8,35.5
2019 Q3,7,77,21,17,14,0,4,1,141,12.8,54.6,32.6
2019 Q4,11,65,10,21,20,3,8,5,143,20.3,45.5,34.3
2020 Q1,7,62,13,11,18,3,2,2,118,13.6,52.5,33.9
2020 Q2,5,23,7,9,11,0,1,1,57,17.5,40.4,42.1
2020 Q3,1,37,5,19,16,1,5,1,85,24.7,43.5,31.8
2020 Q4,6,27,7,20,13,1,2,3,79,30.4,34.2,35.4
2021 Q1,4,53,5,19,23,3,4,0,111,19.8,47.7,32.4
2021 Q2,9,38,15,20,23,1,4,2,112,20.5,33.9,45.5
2021 Q3,10,51,12,24,17,4,4,0,122,23.0,41.8,35.2
2021 Q4,11,38,7,21,19,1,7,4,108,24.1,35.2,40.7
2022 Q1,9,63,4,26,17,0,11,1,131,20.6,48.1,31.3
2022 Q2,11,55,14,23,17,2,4,0,126,19.8,43.7,36.5
2022 Q3,16,48,8,20,10,2,1,1,106,21.7,45.3,33.0
2022 Q4,9,41,4,23,30,2,3,1,113,23.0,36.3,40.7
2023 Q1,8,54,9,19,25,3,5,0,123,17.9,43.9,38.2
2023 Q2,11,64,10,16,15,1,3,0,120,14.2,53.3,32.5
2023 Q3,9,39,11,13,13,4,3,2,94,20.2,41.5,38.3
2023 Q4,6,33,7,29,7,5,7,2,96,37.5,34.4,28.1
2024 Q1,7,45,9,22,14,0,6,0,103,21.4,43.7,35.0
2024 Q2,5,41,7,11,14,0,6,1,85,14.1,48.2,37.6
2024 Q3,12,26,3,12,12,0,1,2,68,20.6,38.2,41.2
2024 Q4,8,53,7,16,16,0,2,0,102,15.7,52.0,32.4
2025 Q1,15,55,4,19,5,0,11,1,110,18.2,50.0,31.8
2025 Q2,7,37,5,9,15,0,3,0,76,11.8,48.7,39.5
2025 Q3,8,46,7,17,11,2,4,1,96,20.8,47.9,31.2
2025 Q4,10,32,3,7,13,1,6,3,75,14.7,42.7,42.7
