Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,92,58,9,28,1,82
2020,68,44,5,12,0,72
2021,91,47,11,23,0,93
2022,89,43,2,14,1,112
2023,62,31,4,22,1,78
2024,70,24,1,28,1,40
2025,69,31,1,20,1,59
