DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,5,37,42,11.9,29,209,238,12.2
2019 Q2,7,25,32,21.9,34,247,281,12.1
2020 Q4,5,12,17,29.4,24,168,192,12.5
2025 Q3,5,23,28,17.9,30,198,228,13.2
2021 Q3,0,18,18,0.0,36,202,238,15.1
2023 Q1,1,15,16,6.2,43,232,275,15.6
2017 Q3,5,20,25,20.0,35,250,285,12.3
2025 Q4,1,10,11,9.1,30,202,232,12.9
2021 Q2,5,27,32,15.6,27,200,227,11.9
2019 Q1,6,17,23,26.1,35,190,225,15.6
2022 Q2,4,17,21,19.0,37,233,270,13.7
2018 Q1,1,25,26,3.8,32,209,241,13.3
2019 Q4,4,19,23,17.4,23,188,211,10.9
2021 Q1,1,17,18,5.6,35,141,176,19.9
2019 Q3,5,13,18,27.8,33,186,219,15.1
2024 Q1,4,14,18,22.2,34,165,199,17.1
2018 Q2,2,14,16,12.5,28,204,232,12.1
2020 Q1,2,13,15,13.3,22,166,188,11.7
2023 Q4,0,13,13,0.0,29,181,210,13.8
2018 Q4,3,14,17,17.6,48,260,308,15.6
2020 Q3,3,13,16,18.8,23,166,189,12.2
2017 Q4,2,7,9,22.2,55,230,285,19.3
2024 Q3,1,19,20,5.0,32,167,199,16.1
2024 Q2,1,18,19,5.3,20,169,189,10.6
2017 Q1,3,20,23,13.0,30,210,240,12.5
2022 Q3,3,14,17,17.6,27,197,224,12.1
2025 Q1,6,16,22,27.3,38,187,225,16.9
2023 Q2,1,20,21,4.8,32,200,232,13.8
2017 Q2,7,24,31,22.6,30,218,248,12.1
2020 Q2,3,20,23,13.0,21,143,164,12.8
2023 Q3,3,13,16,18.8,37,206,243,15.2
2022 Q1,2,28,30,6.7,35,219,254,13.8
2024 Q4,4,15,19,21.1,25,177,202,12.4
2021 Q4,2,25,27,7.4,34,213,247,13.8
2025 Q2,1,10,11,9.1,29,181,210,13.8
2022 Q4,2,23,25,8.0,30,211,241,12.4
