Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of White defendants detained pretrial
2020,25,6,31,232,59,291,695,160,855,19.35483871,20.27491409,18.71345029
2021,29,19,48,313,83,396,776,254,1030,39.58333333,20.95959596,24.66019417
2022,30,21,51,319,126,445,847,254,1101,41.17647059,28.31460674,23.06993642
2023,29,16,45,394,119,513,778,201,979,35.55555556,23.19688109,20.53115424
2024,28,22,50,429,90,519,626,166,792,44.0,17.34104046,20.95959596
2025,21,12,33,417,115,532,686,167,853,36.36363636,21.61654135,19.57796014
