Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,373,85,458,18.6
2017 Q2,362,112,474,23.6
2017 Q3,380,95,475,20.0
2017 Q4,377,90,467,19.3
2018 Q1,354,115,469,24.5
2018 Q2,345,84,429,19.6
2018 Q3,369,104,473,22.0
2018 Q4,427,90,517,17.4
2019 Q1,334,109,443,24.6
2019 Q2,411,119,530,22.5
2019 Q3,323,109,432,25.2
2019 Q4,290,108,398,27.1
2020 Q1,272,85,357,23.8
2020 Q2,233,46,279,16.5
2020 Q3,286,48,334,14.4
2020 Q4,275,53,328,16.2
2021 Q1,261,77,338,22.8
2021 Q2,311,100,411,24.3
2021 Q3,336,96,432,22.2
2021 Q4,309,102,411,24.8
2022 Q1,345,105,450,23.3
2022 Q2,359,107,466,23.0
2022 Q3,305,89,394,22.6
2022 Q4,318,116,434,26.7
2023 Q1,340,125,465,26.9
2023 Q2,324,85,409,20.8
2023 Q3,323,70,393,17.8
2023 Q4,263,74,337,22.0
2024 Q1,300,62,362,17.1
2024 Q2,260,69,329,21.0
2024 Q3,281,60,341,17.6
2024 Q4,271,93,364,25.5
2025 Q1,308,75,383,19.6
2025 Q2,262,63,325,19.4
2025 Q3,294,99,393,25.2
2025 Q4,302,65,367,17.7
