Disposition Quarter,Average number of hearings per case
2017 Q1,8.6056
2017 Q2,8.7101
2017 Q3,8.4558
2017 Q4,8.6662
2018 Q1,8.3929
2018 Q2,8.5568
2018 Q3,8.6608
2018 Q4,8.4415
2019 Q1,8.7213
2019 Q2,8.9039
2019 Q3,8.5248
2019 Q4,8.7739
2020 Q1,9.0164
2020 Q2,10.0469
2020 Q3,10.9189
2020 Q4,10.3115
2021 Q1,10.085
2021 Q2,11.1349
2021 Q3,10.8471
2021 Q4,10.6921
2022 Q1,11.1032
2022 Q2,10.8979
2022 Q3,10.2995
2022 Q4,9.9498
2023 Q1,10.4147
2023 Q2,10.1465
2023 Q3,10.0256
2023 Q4,10.3902
2024 Q1,9.909
2024 Q2,9.9955
2024 Q3,10.0575
2024 Q4,9.6422
2025 Q1,10.1076
2025 Q2,9.9359
2025 Q3,9.8881
2025 Q4,9.6801
2026 Q1,9.9394
2026 Q2,10.017
