District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
02,2017 Q1,226.8802,162.0
02,2017 Q2,224.8359,160.0
02,2017 Q3,222.8592,152.0
02,2017 Q4,226.621,153.0
02,2018 Q1,230.7352,161.0
02,2018 Q2,222.2076,155.0
02,2018 Q3,219.0183,140.0
02,2018 Q4,222.7,148.0
02,2019 Q1,230.0733,165.0
02,2019 Q2,224.411,160.0
02,2019 Q3,220.6926,150.0
02,2019 Q4,234.6163,161.0
02,2020 Q1,238.1866,179.0
02,2020 Q2,290.4941,218.0
02,2020 Q3,313.317,251.0
02,2020 Q4,290.4183,247.0
02,2021 Q1,295.0968,232.0
02,2021 Q2,334.5439,260.0
02,2021 Q3,305.5031,238.0
02,2021 Q4,291.1733,231.0
02,2022 Q1,304.8835,245.0
02,2022 Q2,297.9631,229.0
02,2022 Q3,290.4765,221.0
02,2022 Q4,266.7569,205.0
02,2023 Q1,270.5104,203.0
02,2023 Q2,260.9734,199.0
02,2023 Q3,247.896,182.5
02,2023 Q4,256.6225,185.5
02,2024 Q1,262.3079,206.0
02,2024 Q2,245.9304,195.0
02,2024 Q3,243.9329,187.0
02,2024 Q4,236.9592,182.0
02,2025 Q1,256.6324,199.0
02,2025 Q2,242.5153,192.0
02,2025 Q3,245.7913,188.5
02,2025 Q4,239.5987,179.0
02,2026 Q1,247.7002,197.0
02,2026 Q2,256.3522,200.0
