Metric,Felony,Misdemeanor
Cases Resolved 2025,5995.0,7227.0
Change since 2024,0.30115443,-0.2071251
,,
Cases Resolved Quarter 4 2025,1351.0,1697.0
Change since Quarter 4 2024,-8.28241684,-1.8507808
