Metric,Felony,Misdemeanor
Cases Resolved 2025,5890.0,7220.0
Change since 2024,-1.42259414,-0.33130867
,,
Cases Resolved Quarter 4 2025,1280.0,1693.0
Change since Quarter 4 2024,-12.92517007,-2.2517321
