Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2019,904,604,527,32,82,4964
2020,730,454,530,14,74,3400
2021,856,380,559,21,119,3806
2022,958,385,591,18,122,4083
2023,937,298,631,11,95,3854
2024,1060,378,592,27,122,3798
2025,1093,313,597,16,74,3900
