District,Disposition Quarter,Average number of hearings per case
02,2017 Q1,8.6056
02,2017 Q2,8.7101
02,2017 Q3,8.4558
02,2017 Q4,8.6662
02,2018 Q1,8.3929
02,2018 Q2,8.5568
02,2018 Q3,8.6608
02,2018 Q4,8.4415
02,2019 Q1,8.7213
02,2019 Q2,8.905
02,2019 Q3,8.5268
02,2019 Q4,8.7739
02,2020 Q1,9.0164
02,2020 Q2,10.0469
02,2020 Q3,10.9189
02,2020 Q4,10.3115
02,2021 Q1,10.0827
02,2021 Q2,11.1349
02,2021 Q3,10.858
02,2021 Q4,10.6921
02,2022 Q1,11.1027
02,2022 Q2,10.894
02,2022 Q3,10.2995
02,2022 Q4,9.9424
02,2023 Q1,10.4137
02,2023 Q2,10.1445
02,2023 Q3,10.0249
02,2023 Q4,10.3902
02,2024 Q1,9.9104
02,2024 Q2,10.0058
02,2024 Q3,10.0695
02,2024 Q4,9.6366
02,2025 Q1,10.1167
02,2025 Q2,9.9331
02,2025 Q3,9.8919
02,2025 Q4,9.6761
02,2026 Q1,9.9801
02,2026 Q2,9.9954
