District,Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
02,2020,11,13,24,369,510,879,408,469,877,810,816,1626,45.83333333,41.97952218,46.52223489,49.81549815
02,2021,14,10,24,425,610,1035,431,657,1088,710,988,1698,58.33333333,41.06280193,39.61397059,41.8138987
02,2022,12,15,27,386,762,1148,432,718,1150,648,1137,1785,44.44444444,33.62369338,37.56521739,36.30252101
02,2023,10,16,26,332,776,1108,341,746,1087,586,1062,1648,38.46153846,29.96389892,31.37074517,35.55825243
02,2024,9,5,14,403,862,1265,324,766,1090,546,926,1472,64.28571429,31.85770751,29.72477064,37.0923913
02,2025,11,13,24,413,844,1257,394,704,1098,583,890,1473,45.83333333,32.85600636,35.88342441,39.57909029
