District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
02,2020,3300,264,74,7,3397,1435
02,2021,1760,258,219,18,2488,2354
02,2022,2109,253,490,17,904,2931
02,2023,1735,315,857,15,196,4331
02,2024,1489,382,782,18,155,4418
02,2025,1679,456,645,12,140,4288
