Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,901,476,1377,65.43209877,34.56790123
2017 Q2,931,580,1511,61.61482462,38.38517538
2017 Q3,858,555,1413,60.72186837,39.27813163
2017 Q4,882,614,1496,58.95721925,41.04278075
2018 Q1,1050,604,1654,63.48246675,36.51753325
2018 Q2,1010,705,1715,58.89212828,41.10787172
2018 Q3,1019,781,1800,56.61111111,43.38888889
2018 Q4,945,655,1600,59.0625,40.9375
2019 Q1,1113,605,1718,64.78463329,35.21536671
2019 Q2,1186,685,1871,63.38856227,36.61143773
2019 Q3,1059,663,1722,61.49825784,38.50174216
2019 Q4,971,572,1543,62.92935839,37.07064161
2020 Q1,1235,539,1774,69.61668546,30.38331454
2020 Q2,757,176,933,81.13612004,18.86387996
2020 Q3,882,159,1041,84.72622478,15.27377522
2020 Q4,942,239,1181,79.76291279,20.23708721
2021 Q1,987,243,1230,80.24390244,19.75609756
2021 Q2,1084,214,1298,83.51309707,16.48690293
2021 Q3,1137,300,1437,79.12317328,20.87682672
2021 Q4,1148,329,1477,77.72511848,22.27488152
2022 Q1,1180,316,1496,78.87700535,21.12299465
2022 Q2,1156,362,1518,76.15283267,23.84716733
2022 Q3,1116,397,1513,73.76074025,26.23925975
2022 Q4,874,399,1273,68.65671642,31.34328358
2023 Q1,1015,383,1398,72.6037196,27.3962804
2023 Q2,929,423,1352,68.71301775,31.28698225
2023 Q3,894,452,1346,66.41901932,33.58098068
2023 Q4,847,451,1298,65.25423729,34.74576271
2024 Q1,959,366,1325,72.37735849,27.62264151
2024 Q2,1006,473,1479,68.01893171,31.98106829
2024 Q3,967,480,1447,66.82791983,33.17208017
2024 Q4,928,470,1398,66.38054363,33.61945637
2025 Q1,1072,437,1509,71.04042412,28.95957588
2025 Q2,1060,477,1537,68.96551724,31.03448276
2025 Q3,933,446,1379,67.65772299,32.34227701
2025 Q4,860,438,1298,66.25577812,33.74422188
2026 Q1,967,388,1355,71.36531365,28.63468635
2026 Q2,833,362,1195,69.70711297,30.29288703
