Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2020,11,13,24,373,511,884,408,472,880,806,812,1618,45.8,42.2,46.4,49.8
2021,15,11,26,423,616,1039,434,657,1091,709,985,1694,57.7,40.7,39.8,41.9
2022,13,15,28,388,763,1151,432,718,1150,648,1141,1789,46.4,33.7,37.6,36.2
2023,9,16,25,334,777,1111,342,744,1086,585,1064,1649,36.0,30.1,31.5,35.5
2024,8,5,13,400,866,1266,325,768,1093,548,921,1469,61.5,31.6,29.7,37.3
2025,10,11,21,427,861,1288,401,717,1118,591,904,1495,47.6,33.2,35.9,39.5
