Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,2350,365,2715,86.55616943,13.44383057
2017 Q2,2631,522,3153,83.44433873,16.55566127
2017 Q3,1997,414,2411,82.82870178,17.17129822
2017 Q4,1864,391,2255,82.66075388,17.33924612
2018 Q1,2068,507,2575,80.31067961,19.68932039
2018 Q2,1937,458,2395,80.87682672,19.12317328
2018 Q3,1855,370,2225,83.37078652,16.62921348
2018 Q4,1902,386,2288,83.12937063,16.87062937
2019 Q1,2058,372,2430,84.69135802,15.30864198
2019 Q2,2346,202,2548,92.0722135,7.9277865
2019 Q3,3566,258,3824,93.25313808,6.74686192
2019 Q4,2400,254,2654,90.42954032,9.57045968
2020 Q1,1967,338,2305,85.3362256,14.6637744
2020 Q2,2048,167,2215,92.46049661,7.53950339
2020 Q3,1509,130,1639,92.06833435,7.93166565
2020 Q4,1067,123,1190,89.66386555,10.33613445
2021 Q1,1200,162,1362,88.10572687,11.89427313
2021 Q2,1554,164,1718,90.4540163,9.5459837
2021 Q3,1401,119,1520,92.17105263,7.82894737
2021 Q4,1297,189,1486,87.28129206,12.71870794
2022 Q1,1374,207,1581,86.90702087,13.09297913
2022 Q2,1480,242,1722,85.94657375,14.05342625
2022 Q3,1360,198,1558,87.29139923,12.70860077
2022 Q4,1368,206,1574,86.91232529,13.08767471
2023 Q1,1643,196,1839,89.34203371,10.65796629
2023 Q2,1569,256,1825,85.97260274,14.02739726
2023 Q3,1545,198,1743,88.64027539,11.35972461
2023 Q4,1393,150,1543,90.2786779,9.7213221
2024 Q1,1444,168,1612,89.57816377,10.42183623
2024 Q2,1644,146,1790,91.84357542,8.15642458
2024 Q3,1558,172,1730,90.05780347,9.94219653
2024 Q4,1528,113,1641,93.11395491,6.88604509
2025 Q1,1538,116,1654,92.98669891,7.01330109
2025 Q2,1692,110,1802,93.89567148,6.10432852
2025 Q3,1644,130,1774,92.67192785,7.32807215
2025 Q4,1501,114,1615,92.94117647,7.05882353
2026 Q1,1667,120,1787,93.28483492,6.71516508
2026 Q2,1610,94,1704,94.48356808,5.51643192
