Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,427,555,982,43.5
2017 Q2,443,563,1006,44.0
2017 Q3,452,534,986,45.8
2017 Q4,449,564,1013,44.3
2018 Q1,552,576,1128,48.9
2018 Q2,578,596,1174,49.2
2018 Q3,608,661,1269,47.9
2018 Q4,572,584,1156,49.5
2019 Q1,574,725,1299,44.2
2019 Q2,663,706,1369,48.4
2019 Q3,680,603,1283,53.0
2019 Q4,580,509,1089,53.3
2020 Q1,610,645,1255,48.6
2020 Q2,325,337,662,49.1
2020 Q3,328,391,719,45.6
2020 Q4,358,472,830,43.1
2021 Q1,385,496,881,43.7
2021 Q2,370,524,894,41.4
2021 Q3,466,622,1088,42.8
2021 Q4,390,668,1058,36.9
2022 Q1,392,661,1053,37.2
2022 Q2,384,719,1103,34.8
2022 Q3,403,698,1101,36.6
2022 Q4,344,599,943,36.5
2023 Q1,345,719,1064,32.4
2023 Q2,330,670,1000,33.0
2023 Q3,319,655,974,32.8
2023 Q4,305,605,910,33.5
2024 Q1,301,609,910,33.1
2024 Q2,359,684,1043,34.4
2024 Q3,333,659,992,33.6
2024 Q4,316,652,968,32.6
2025 Q1,336,679,1015,33.1
2025 Q2,425,647,1072,39.6
2025 Q3,348,627,975,35.7
2025 Q4,340,571,911,37.3
2026 Q1,355,575,930,38.2
2026 Q2,293,491,784,37.4
