Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,3304,264,75,7,3393,1440
2021,1763,258,219,18,2474,2362
2022,2110,253,491,17,905,2932
2023,1735,316,857,15,194,4330
2024,1483,384,782,18,161,4414
2025,1680,457,649,12,141,4288
