Metric,Felony,Misdemeanor
Filings 2025,5619.0,6988.0
Change since 2024,-9.6479,-7.6638
,,
Filings Quarter 4 2025,1210.0,1484.0
Change since Quarter 4 2024,-20.3947,-13.0129
