Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1898,3250,25,5173,36.7
2017 Q2,1915,3092,46,5053,37.9
2017 Q3,2016,2830,35,4881,41.3
2017 Q4,1815,2807,47,4669,38.9
2018 Q1,1940,3171,50,5161,37.6
2018 Q2,2193,2948,57,5198,42.2
2018 Q3,2281,2840,64,5185,44.0
2018 Q4,2142,2751,43,4936,43.4
2019 Q1,2085,2881,32,4998,41.7
2019 Q2,2136,2390,32,4558,46.9
2019 Q3,2211,2176,32,4419,50.0
2019 Q4,2023,2240,23,4286,47.2
2020 Q1,1748,2479,29,4256,41.1
2020 Q2,1273,1346,14,2633,48.3
2020 Q3,1466,1558,11,3035,48.3
2020 Q4,1431,1435,12,2878,49.7
2021 Q1,1546,1747,17,3310,46.7
2021 Q2,1511,1685,11,3207,47.1
2021 Q3,1491,1942,44,3477,42.9
2021 Q4,1341,1541,27,2909,46.1
2022 Q1,1351,1689,51,3091,43.7
2022 Q2,1319,1701,72,3092,42.7
2022 Q3,1385,1677,27,3089,44.8
2022 Q4,1305,1689,32,3026,43.1
2023 Q1,1464,1778,38,3280,44.6
2023 Q2,1429,1882,77,3388,42.2
2023 Q3,1616,1981,56,3653,44.2
2023 Q4,1419,1785,44,3248,43.7
2024 Q1,1559,1927,49,3535,44.1
2024 Q2,1537,1814,30,3381,45.5
2024 Q3,1603,2119,67,3789,42.3
2024 Q4,1521,1705,72,3298,46.1
2025 Q1,1415,1777,85,3277,43.2
2025 Q2,1512,1930,71,3513,43.0
2025 Q3,1483,1795,76,3354,44.2
2025 Q4,1210,1482,48,2740,44.2
2026 Q1,1251,1626,21,2898,43.2
2026 Q2,1223,1622,28,2873,42.6
