Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,7644,11979,153
2018,8556,11709,214
2019,8455,9685,119
2020,5918,6817,66
2021,5889,6914,99
2022,5360,6755,182
2023,5929,7426,215
2024,6220,7564,218
2025,5619,6986,280
