Metric,Felony,Misdemeanor
Filings 2025,5619.0,6986.0
Change since 2024,-9.6624,-7.6415
,,
Filings Quarter 4 2025,1209.0,1485.0
Change since Quarter 4 2024,-20.5128,-12.8521
