Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,2249,156,387,2622,1929,947,767,3745
2021,2586,201,501,2578,1928,1351,750,3008
2022,2515,207,417,2393,2194,945,716,2911
2023,2717,200,493,2633,2564,1005,940,3017
2024,2927,208,580,3046,2674,1033,918,2617
2025,2815,162,630,2615,2313,1029,842,2478
