Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,2249,156,387,2622,1929,947,767,3746
2021,2586,201,501,2578,1928,1351,750,3008
2022,2515,207,417,2393,2191,945,714,2911
2023,2717,200,493,2633,2564,1005,941,3017
2024,2927,208,580,3047,2674,1033,918,2617
2025,2816,162,630,2616,2313,1030,843,2477
