District,Filing Quarter,Number of violent cases filed per quarter
02,2017 Q1,344
02,2017 Q2,353
02,2017 Q3,363
02,2017 Q4,336
02,2018 Q1,299
02,2018 Q2,337
02,2018 Q3,400
02,2018 Q4,340
02,2019 Q1,313
02,2019 Q2,332
02,2019 Q3,388
02,2019 Q4,359
02,2020 Q1,294
02,2020 Q2,275
02,2020 Q3,370
02,2020 Q4,357
02,2021 Q1,332
02,2021 Q2,356
02,2021 Q3,333
02,2021 Q4,324
02,2022 Q1,289
02,2022 Q2,293
02,2022 Q3,374
02,2022 Q4,332
02,2023 Q1,373
02,2023 Q2,363
02,2023 Q3,419
02,2023 Q4,345
02,2024 Q1,399
02,2024 Q2,369
02,2024 Q3,393
02,2024 Q4,364
02,2025 Q1,386
02,2025 Q2,433
02,2025 Q3,410
02,2025 Q4,353
02,2026 Q1,316
02,2026 Q2,333
02,2026 Q3,14
