Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1898,3250,25
2017 Q2,1915,3092,46
2017 Q3,2016,2830,35
2017 Q4,1815,2807,47
2018 Q1,1940,3171,50
2018 Q2,2193,2948,57
2018 Q3,2281,2840,64
2018 Q4,2142,2751,43
2019 Q1,2085,2881,32
2019 Q2,2136,2390,32
2019 Q3,2211,2176,32
2019 Q4,2023,2240,23
2020 Q1,1748,2479,29
2020 Q2,1273,1346,14
2020 Q3,1466,1558,11
2020 Q4,1431,1435,12
2021 Q1,1546,1747,17
2021 Q2,1511,1685,11
2021 Q3,1491,1942,44
2021 Q4,1341,1541,27
2022 Q1,1351,1689,51
2022 Q2,1319,1701,72
2022 Q3,1385,1677,27
2022 Q4,1305,1689,32
2023 Q1,1464,1778,38
2023 Q2,1429,1882,77
2023 Q3,1616,1981,56
2023 Q4,1419,1785,44
2024 Q1,1559,1927,49
2024 Q2,1537,1814,30
2024 Q3,1603,2119,67
2024 Q4,1521,1705,72
2025 Q1,1415,1777,85
2025 Q2,1512,1930,71
2025 Q3,1483,1795,76
2025 Q4,1210,1482,48
2026 Q1,1251,1626,21
2026 Q2,1223,1622,28
