District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
12,2017 Q1,245,660,30
12,2017 Q2,255,619,22
12,2017 Q3,322,595,30
12,2017 Q4,269,497,15
12,2018 Q1,240,548,15
12,2018 Q2,235,581,12
12,2018 Q3,193,556,20
12,2018 Q4,238,483,22
12,2019 Q1,252,556,23
12,2019 Q2,210,504,14
12,2019 Q3,257,492,20
12,2019 Q4,184,523,29
12,2020 Q1,173,466,25
12,2020 Q2,184,433,19
12,2020 Q3,166,569,30
12,2020 Q4,148,602,24
12,2021 Q1,145,896,27
12,2021 Q2,220,714,23
12,2021 Q3,206,722,28
12,2021 Q4,151,605,30
12,2022 Q1,182,619,19
12,2022 Q2,174,453,24
12,2022 Q3,110,440,36
12,2022 Q4,154,609,36
12,2023 Q1,164,521,43
12,2023 Q2,161,513,40
12,2023 Q3,158,569,50
12,2023 Q4,176,628,43
12,2024 Q1,172,547,43
12,2024 Q2,161,571,40
12,2024 Q3,142,614,35
12,2024 Q4,124,593,34
12,2025 Q1,117,615,66
12,2025 Q2,144,569,67
12,2025 Q3,138,601,99
12,2025 Q4,129,463,56
12,2026 Q1,133,464,55
12,2026 Q2,157,480,127
