Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,245,661,30
2017 Q2,255,619,22
2017 Q3,322,596,30
2017 Q4,269,497,15
2018 Q1,240,548,15
2018 Q2,235,581,12
2018 Q3,193,556,20
2018 Q4,238,483,22
2019 Q1,252,556,23
2019 Q2,210,504,14
2019 Q3,257,492,20
2019 Q4,184,523,29
2020 Q1,173,466,25
2020 Q2,184,433,19
2020 Q3,166,569,30
2020 Q4,148,602,24
2021 Q1,145,896,27
2021 Q2,220,714,24
2021 Q3,206,723,28
2021 Q4,151,605,30
2022 Q1,182,620,19
2022 Q2,174,453,24
2022 Q3,110,440,36
2022 Q4,154,610,36
2023 Q1,164,524,43
2023 Q2,161,514,40
2023 Q3,158,571,51
2023 Q4,176,629,42
2024 Q1,172,547,43
2024 Q2,161,571,40
2024 Q3,142,614,35
2024 Q4,124,593,34
2025 Q1,117,615,66
2025 Q2,144,569,67
2025 Q3,138,601,99
2025 Q4,129,463,56
2026 Q1,133,464,55
2026 Q2,157,481,128
