District,Metric,Felony,Misdemeanor
12,Filings 2025,528.0,2248.0
12,Change since 2024,-11.8531,-3.3118
12,,,
12,Filings Quarter 4 2025,129.0,463.0
12,Change since Quarter 4 2024,4.0323,-21.9224
