Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,1091,2371,97
2018,906,2168,69
2019,903,2075,86
2020,671,2070,98
2021,722,2937,108
2022,620,2121,115
2023,659,2231,176
2024,599,2325,152
2025,528,2248,288
