District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
12,2017 Q1,245,660,30,935,26.20320856
12,2017 Q2,255,619,22,896,28.45982143
12,2017 Q3,322,595,30,947,34.00211193
12,2017 Q4,269,497,15,781,34.44302177
12,2018 Q1,240,548,15,803,29.8879203
12,2018 Q2,235,581,12,828,28.38164251
12,2018 Q3,193,556,20,769,25.09752926
12,2018 Q4,238,483,22,743,32.03230148
12,2019 Q1,252,556,23,831,30.32490975
12,2019 Q2,210,504,14,728,28.84615385
12,2019 Q3,257,492,20,769,33.42002601
12,2019 Q4,184,523,29,736,25.0
12,2020 Q1,173,466,25,664,26.05421687
12,2020 Q2,184,433,19,636,28.93081761
12,2020 Q3,166,569,30,765,21.69934641
12,2020 Q4,148,602,24,774,19.12144703
12,2021 Q1,145,896,27,1068,13.57677903
12,2021 Q2,220,714,23,957,22.98850575
12,2021 Q3,206,722,28,956,21.54811715
12,2021 Q4,151,605,30,786,19.21119593
12,2022 Q1,182,619,19,820,22.19512195
12,2022 Q2,174,453,24,651,26.7281106
12,2022 Q3,110,440,36,586,18.77133106
12,2022 Q4,154,609,36,799,19.27409262
12,2023 Q1,164,521,43,728,22.52747253
12,2023 Q2,161,513,40,714,22.54901961
12,2023 Q3,158,569,50,777,20.33462033
12,2023 Q4,176,628,43,847,20.77922078
12,2024 Q1,172,547,43,762,22.57217848
12,2024 Q2,161,571,40,772,20.85492228
12,2024 Q3,142,614,35,791,17.95195954
12,2024 Q4,124,593,34,751,16.51131824
12,2025 Q1,117,615,66,798,14.66165414
12,2025 Q2,144,569,67,780,18.46153846
12,2025 Q3,138,601,99,838,16.46778043
12,2025 Q4,129,463,56,648,19.90740741
12,2026 Q1,133,464,55,652,20.39877301
12,2026 Q2,157,480,127,764,20.54973822
